# Loop @ Start frequency 2200000Hz took 1443.71 cycles
# Interval [1442 ; 1446]
# Q1 : 1440 ; Q3 : 1442
# Loop @ Target frequency 1800000Hz took 1766.07 cycles
# Interval [1763 ; 1769]
# Q1 : 1760 ; Q3 : 1762
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
178888	156582	22306	3567	472287770	471969274	12757119305267738
321648	309870	11778	4812	16375172	15098574	12757119322407010
1104524	1093152	11372	907	4225206	4194238	12757119328199934
1243992	1232328	11664	3036	10707744	10702978	12757119340589394
1141098	1129558	11540	4996	16503982	16468362	12757119358671494
1358786	1347200	11586	2463	8903372	9107138	12757119369373308
1403060	1391434	11626	4156	13975956	14216930	12757119385187130
909542	898100	11442	3982	13555744	13201400	12757119400089210
1652442	1640794	11648	4075	13740304	14222082	12757119415919354
295664	284050	11614	3998	13956082	12635680	12757119430610490
1031690	1020120	11570	3427	11801412	11663198	12757119443877840
465240	453928	11312	2191	8082466	7396534	12757119452864810
479020	467536	11484	4544	15455874	14453464	12757119469237748
546564	534986	11578	3891	13269422	12567584	12757119483491640
1664552	1652988	11564	4101	13822134	14312216	12757119499415640
1382002	1370404	11598	3295	11554324	11616518	12757119512792694
1657832	1646294	11538	2535	9186922	9620210	12757119524073474
1254834	1243472	11362	27	2081720	1720748	12757119527851504
165298	153814	11484	2511	9056252	8055978	12757119537506480
1096098	1084634	11464	4626	15720844	15315944	12757119554760600
617892	606368	11524	4697	15606208	15051198	12757119571419764
427084	415610	11474	4859	16069512	15342574	12757119588351410
603284	591970	11314	1572	6237336	5683508	12757119595626860
1609606	1598248	11358	447	2885440	3322838	12757119600559790
526028	514470	11558	3556	12320768	11543504	12757119613845230
794124	782374	11750	4871	16115400	15746818	12757119631190834
406194	394580	11614	3275	11444022	10581728	12757119643477840
1657702	1646242	11460	1540	6142062	6641722	12757119651711758
0	0	0	0	0	0	0
404310	392916	11394	1572	6392874	5483536	12757119670549858
601850	590480	11370	1286	5383764	4824212	12757119676969548
1620220	1608770	11450	4158	14427970	14438624	12757119693455330
1337962	1326750	11212	156	1905258	2181486	12757119697225504
1210510	1199236	11274	590	3458290	3348440	12757119702329600
1661188	1649574	11614	1788	6892234	7386564	12757119711319120
1061858	1050206	11652	4822	16152012	15876388	12757119728976540
521516	509986	11530	271	2477862	1714946	12757119732416778
1036098	1024390	11708	2722	9755702	9564776	12757119743648880
488438	476834	11604	3041	10595832	9971606	12757119755171610
156460	145010	11450	1519	6414510	5082556	12757119762187250
0	0	0	0	0	0	0
509262	497602	11660	4306	14475212	13776034	12757119784597824
0	0	0	0	0	0	0
701238	689594	11644	1904	7681926	6782058	12757119805832974
0	0	0	0	0	0	0
419068	407548	11520	1597	6528852	5582146	12757119823505240
0	0	0	0	0	0	0
0	0	0	0	0	0	0
908622	897282	11340	138	2051704	1702002	12757119840515614
1008008	996434	11574	3347	11668782	11406908	12757119853637130
1434432	1423082	11350	16	1614984	1864388	12757119857124144
1226056	1214522	11534	1746	7216744	6834828	12757119866003378
0	0	0	0	0	0	0
1387086	1375436	11650	3464	11948472	12150576	12757119897368458
1325142	1313516	11626	3745	12759932	12917074	12757119911891004
219492	207986	11506	2732	9912696	8772658	12757119922463578
202808	191502	11306	1498	6028312	5061588	12757119929130088
1662344	1650840	11504	4146	14392982	14444482	12757119945619954
0	0	0	0	0	0	0
1296310	1284884	11426	1260	5350720	5442728	12757119959766600
1662722	1651200	11522	4117	13893142	14355762	12757119975758854
166304	154902	11402	2011	7726466	6561588	12757119984094174
820848	809626	11222	172	2216182	1711408	12757119987568100
1672890	1660686	12204	2268	8290254	8836122	12757119997970548
1357874	1346460	11414	4094	14231056	13987194	12757120013996750
607142	595724	11418	745	3941432	3211682	12757120018983468
1441802	1430462	11340	2672	9981056	9814722	12757120030843978
1520832	1509468	11364	3355	11587202	11938332	12757120044388068
1529328	1518094	11234	1239	5314342	5613312	12757120051669304
996994	985570	11424	4099	13801812	13641738	12757120066906610
433180	421754	11426	3278	11781970	10617224	12757120079556480
1356824	1345364	11460	2673	9538406	9732484	12757120090889520
1564878	1553512	11366	2143	8389306	8353082	12757120101279434
1655618	1644324	11294	1737	6914088	7229936	12757120110286020
1033534	1022040	11494	1406	5818636	5615264	12757120117577230
614338	603066	11272	797	3913688	3373318	12757120122542194
1191782	1180478	11304	643	3548798	3488524	12757120127719724
0	0	0	0	0	0	0
0	0	0	0	0	0	0
351806	340186	11620	882	4424382	3372662	12757120161376128
996342	984884	11458	2473	9039572	8778244	12757120171849374
296818	285240	11578	1585	6272942	5415354	12757120178850590
914022	902360	11662	2540	9432922	8888908	12757120189631724
1142238	1130534	11704	4264	14298524	14276320	12757120205500840
384814	373254	11560	2738	9809888	8950278	12757120216125410
1647532	1635942	11590	2733	10021054	10200674	12757120228222474
199304	187704	11600	4271	14574452	13356998	12757120243429824
1269160	1257534	11626	2902	10481870	10330120	12757120255612360
1109714	1088012	21702	3628	12406318	12343814	12757120269558480
1074708	1063234	11474	3111	11001932	10758824	12757120282063770
614614	603250	11364	266	2430360	1784798	12757120285536284
982442	970812	11630	4833	16261362	15820852	12757120303209084
897552	885966	11586	157	2376394	1741894	12757120306916254
597772	586404	11368	226	2654368	1650014	12757120310597044
1659462	1647882	11580	1531	6163752	6614522	12757120318847734
831994	820456	11538	3004	10967848	10195380	12757120331084210
329998	318408	11590	3731	13147662	11869110	12757120344990140
888890	877388	11502	4131	14009962	13625214	12757120360318960
1659508	1648062	11446	3481	12308366	12442338	12757120374710298
1225790	1213352	12438	587	3375666	3346620	12757120379741580
438942	427510	11432	4252	14260168	13530608	12757120394865070
1656892	1645342	11550	3693	12938004	13075858	12757120409883350
161754	150336	11418	3638	12707736	11425448	12757120423182058
869668	858050	11618	2737	9837288	9428638	12757120434317330
1046798	1035472	11326	1854	7162822	6977566	12757120442952398
567318	556076	11242	262	2510902	1717644	12757120446456508
1661754	1650366	11388	2312	8577160	8949412	12757120457119258
1601414	1590120	11294	533	3572362	3560128	12757120462718530
1178388	1166398	11990	3593	12292788	12297338	12757120476613594
1081672	1070468	11204	99	2008336	1743092	12757120480129308
284810	273408	11402	4288	14433980	13484114	12757120495275660
1559186	1547860	11326	4109	13954148	14221472	12757120511215268
