# Loop @ Start frequency 2200000Hz took 973.29 cycles
# Interval [968 ; 979]
# Q1 : 962 ; Q3 : 966
# Loop @ Target frequency 2700000Hz took 792.16 cycles
# Interval [784 ; 801]
# Q1 : 784 ; Q3 : 786
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1649334	1615088	34246	3567	267146114	267443336	1123891890409431
1696468	1675072	21396	4812	11029910	11550078	1123891903342469
1929070	1908068	21002	907	3236090	3972826	1123891908709045
1342488	1321874	20614	3036	7481358	7644712	1123891917734445
1532490	1512150	20340	4996	11401450	11757932	1123891930872337
1821978	1800664	21314	2463	6327784	6977904	1123891939223713
1419250	1399678	19572	4156	9000494	9959936	1123891949842941
1427654	1408202	19452	3982	9371888	9621806	1123891960841215
1801308	1778008	23300	4075	9421128	10181638	1123891972264829
1469702	1448694	21008	3998	9401734	9694766	1123891983337113
1403844	1385080	18764	3427	8262594	8486192	1123891993205181
1406972	1387352	19620	2191	5926914	6018484	1123892000740263
702686	682456	20230	4544	10653684	10020834	1123892012297921
2069236	2050682	18554	3891	9311558	10082024	1123892023878283
1706294	1688020	18274	4101	9622786	10126724	1123892035397201
1463392	1445896	17496	3295	7980578	8271222	1123892045030263
1291294	1273278	18016	2535	6461742	6580524	1123892052976105
1201302	1183060	18242	27	1445912	1473860	1123892055816037
2091796	2071794	20002	2511	6411646	7331034	1123892064508627
1096402	1076478	19924	4626	10553356	10577432	1123892076357113
2111152	2090272	20880	4697	10801568	11734420	1123892089471793
1641274	1615008	26266	4859	10310130	11587258	1123892101625795
1636804	1614826	21978	1572	4555006	5015270	1123892108017285
2026116	2006832	19284	447	2305552	3149680	1123892112550577
1746856	1725662	21194	3556	8518704	9089420	1123892123017235
1607282	1545464	61818	4871	10485824	11577438	1123892135315577
966598	849554	117044	3275	7955426	7746144	1123892144438801
1629590	1582776	46814	1540	3909468	4938938	1123892150179761
1917324	1636262	281062	3078	7437490	8302082	1123892159733419
1235926	1214174	21752	1572	4401146	4612474	1123892165571951
1257230	1238662	18568	1286	3989008	4059802	1123892171017137
1940808	1922710	18098	4158	9707526	10474402	1123892182858599
1177624	1159718	17906	156	1129946	1708896	1123892185355417
1702142	1682184	19958	590	2370874	3099764	1123892189617921
0	0	0	0	0	0	0
2092718	2072744	19974	4822	10308066	11966414	1123892209528431
428704	408056	20648	271	1947470	1200350	1123892212106395
1922646	1850872	71774	2722	6849290	7597122	1123892221080261
0	0	0	0	0	0	0
1103416	1082636	20780	1519	4466540	4370854	1123892235600937
830220	809978	20242	1506	4419294	4075666	1123892241051697
1401178	1379204	21974	4306	10018498	10243994	1123892252674561
0	0	0	0	0	0	0
1862486	1828778	33708	1904	5230538	5904286	1123892269111661
1942110	1899514	42596	2294	5176274	6748646	1123892276423243
1297854	1279406	18448	1597	3828320	4712982	1123892281736903
1928270	1910398	17872	2113	5642246	6376990	1123892289497307
2158606	2011644	146962	412	2192600	3201498	1123892294035605
1122970	1103868	19102	138	743772	1632704	1123892296090047
1910190	1885986	24204	3347	8103450	8834228	1123892306303179
1227970	1160988	66982	16	1376646	1490804	1123892309108981
1987094	1961972	25122	1746	4896634	5709118	1123892316197975
1575576	1556414	19162	4935	10296784	11675958	1123892328272377
2091188	2037806	53382	3464	8307884	9247314	1123892338873935
2030068	2008902	21166	3745	8897302	9750514	1123892350002727
1148064	1129022	19042	2732	6480576	6845710	1123892357830645
0	0	0	0	0	0	0
968632	948598	20034	4146	9920844	9490068	1123892374327099
1421710	1400526	21184	1096	3301508	3842224	1123892379252121
763248	741820	21428	1260	3950692	3512424	1123892384167645
925384	903758	21626	4117	9638540	9388946	1123892394933695
1803176	1782880	20296	2011	5414314	6053534	1123892402351417
1181716	1162804	18912	172	1192186	1755988	1123892404923965
2060950	2036528	24422	2268	5792156	6827452	1123892412979175
2098208	2078870	19338	4094	9803618	10516106	1123892425086325
1920156	1793456	126700	745	2456906	3639908	1123892429670205
1720668	1700984	19684	2672	6241984	7294812	1123892437834669
2172178	2006082	166096	3355	8029730	9114850	1123892448238095
1145942	1126238	19704	1239	3674592	3852880	1123892453257819
961184	941858	19326	4099	8679614	9389722	1123892463100981
634770	527384	107386	3278	8087412	7420126	1123892472028401
2124326	2106826	17500	2673	6741416	7689770	1123892481083881
1631616	1609982	21634	2143	5684770	6136752	1123892488591219
1655620	1635954	19666	1737	4876566	5358290	1123892495325131
732836	695420	37416	1406	4326884	3774920	1123892500586337
1679146	1468168	210978	797	2997528	3502480	1123892505464613
