# Loop @ Start frequency 3600000Hz took 707.90 cycles
# Interval [707 ; 709]
# Q1 : 706 ; Q3 : 708
# Loop @ Target frequency 3400000Hz took 709.20 cycles
# Interval [708 ; 711]
# Q1 : 706 ; Q3 : 708
# Warning: confidence intervals overlap, we can not state any thing, need to do the t-test
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
39894	3216	36678	8567	5226705948	212191282	87656414012879
19014	3174	15840	14812	29807092	29807146	87656444005759
19304	3168	16136	5907	12006122	11998648	87656456197985
17580	1618	15962	18036	36291672	36256328	87656492673973
34854	4844	30010	14996	30177350	30193616	87656523053021
17476	1614	15862	2463	5114884	5111120	87656528353581
18136	1624	16512	9156	18498576	18497766	87656547038121
17550	1632	15918	8982	18148286	18149536	87656565373365
17638	1634	16004	9075	18336556	18337282	87656583897331
16732	1648	15084	3998	8182688	8182020	87656592266365
21916	1646	20270	8427	17077996	17046366	87656609537435
17168	1650	15518	7191	14571850	14571384	87656624298569
65296	1634	63662	14544	29276800	29323838	87656653812459
18288	1652	16636	8891	17968820	17970398	87656671971289
64538	1648	62890	14101	28389730	28436604	87656700597329
17052	1640	15412	3295	6780038	6778200	87656707565773
19682	3278	16404	17535	35259082	35262266	87656743016123
17702	1642	16060	5027	10241160	10242144	87656753446075
20210	4936	15274	12511	25215110	25214912	87656778852389
20416	1656	18760	9626	19441834	19442290	87656798486413
19908	3276	16632	9697	19582052	19584822	87656818259763
17018	1648	15370	4859	10138452	9904354	87656828586769
18200	1650	16550	6572	13331232	13332314	87656842107881
23916	1646	22270	5447	11080690	11088612	87656853383513
17654	1642	16012	3556	7300082	7299482	87656860873179
17474	1648	15826	4871	9931342	9931132	87656870992937
22048	1642	20406	8275	16864826	16741800	87656888051333
16962	1642	15320	11540	23265666	23266096	87656911506073
119174	1636	117538	18078	36345514	36448184	87656948142013
16554	1644	14910	1572	3333352	3330596	87656951663375
24814	1654	23160	11286	22762974	22767270	87656974625445
18522	1686	16836	9158	18503898	18503556	87656993318993
18040	1634	16406	156	498480	499926	87656994006521
17582	1644	15938	5590	11439624	11368918	87657005635949
20004	1636	18368	11788	23764782	23766582	87657029600193
17714	1652	16062	4822	9834142	9832370	87657039623823
75268	4932	70336	271	730684	789346	87657040603381
137970	4912	133058	2722	5635202	5753120	87657046548013
19228	3310	15918	8041	16270168	16271228	87657063009155
18148	3280	14868	16519	33308410	33226504	87657096507809
21468	1634	19834	16506	33200080	33203080	87657129900861
18252	1646	16606	19306	38800274	38800880	87657168891357
19006	1644	17362	18273	36797076	36735512	87657205879801
17940	1638	16302	16904	34116294	33996220	87657240186461
16598	1646	14952	2294	4776188	4775616	87657245151073
19190	1650	17540	11597	23383422	23384426	87657268725471
18318	1646	16672	7113	14412758	14413758	87657283328519
153848	1646	152202	412	1144268	1151616	87657284798013
16162	1648	14514	138	464698	462648	87657285450311
162252	6580	155672	3347	6885736	7030884	87657292670341
74336	1650	72686	15016	30221852	30277452	87657323138203
17244	1648	15596	6746	13681522	13680536	87657337008993
18140	1644	16496	9935	20059088	20059602	87657357257737
16926	1644	15282	8464	17118092	17116260	87657374564401
