experiment,frequency,shell,threads,utility,op1,op2,ipc-estimate,metricq,perf-freq,perf-ipc,sysfs-powercap-rapl,sysfs-powercap-rapl/package-0,sysfs-powercap-rapl/package-0-dram,sysfs-powercap-rapl/package-1,sysfs-powercap-rapl/package-1-dram
2,0,0,112,1,0,0,0.000000,931.787234,0.000000,-nan,263.544052,115.403466,12.445083,124.289206,11.406148
4,0,0,14,623130118,0,0,0.000000,936.479167,0.795882,2.671336,267.537526,119.368222,12.438613,124.305848,11.425058
5,0,0,14,170611,0,0,0.000000,941.640000,0.795841,5.448679,271.445484,123.298715,12.455073,124.286166,11.405530
8,0,0,14,871,0,0,0.000000,944.784314,0.795119,3.476081,275.610356,124.285134,15.588678,124.349246,11.387033
14,0,0,14,630,0,0,0.000000,947.800000,0.794856,4.686148,275.962131,124.492109,15.672357,124.427276,11.372399
13,0,0,14,794,0,0,0.000000,949.220000,0.795024,3.189865,276.948311,125.124456,16.021313,124.445562,11.356961
3,0,0,14,22079,0,0,0.000000,934.163265,0.795913,2.120765,265.157522,116.864987,12.482391,124.436205,11.373945
9,0,0,14,21117,0,0,0.000000,933.900000,0.795861,2.107738,264.716892,116.471370,12.473501,124.375509,11.396503
11,0,0,14,4841,0,0,0.000000,932.240000,0.795828,0.064399,263.751308,115.475610,12.474905,124.369837,11.430904
6,0,0,14,35055193,0,0,0.000000,955.180000,0.794019,3.991311,283.351056,131.969120,15.663948,124.302209,11.415663
4,0,0,28,636069198,0,0,0.000000,941.860000,0.796267,2.673512,271.411620,123.217434,12.475755,124.306678,11.411753
5,0,0,28,169048,0,0,0.000000,950.920000,0.796311,5.433541,280.353302,132.151733,12.460911,124.331635,11.409053
8,0,0,28,858,0,0,0.000000,957.411765,0.795717,3.475414,285.392655,132.876643,16.679532,124.417402,11.419093
14,0,0,28,621,0,0,0.000000,962.780000,0.795415,4.655007,293.037277,136.135111,21.108593,124.404831,11.388769
13,0,0,28,782,0,0,0.000000,964.600000,0.795633,3.196350,294.079584,134.421742,23.879601,124.398697,11.379439
3,0,0,28,21794,0,0,0.000000,935.734694,0.796304,2.120730,267.813682,119.478282,12.524460,124.422023,11.389115
9,0,0,28,21787,0,0,0.000000,935.591837,0.796328,2.114112,267.820259,119.460379,12.565842,124.402516,11.391472
11,0,0,28,4858,0,0,0.000000,932.120000,0.796314,0.064473,263.948473,115.587460,12.546232,124.405279,11.409523
6,0,0,28,34420929,0,0,0.000000,978.510204,0.794913,3.989025,304.484155,148.619323,20.035898,124.451592,11.377445
4,0,0,42,627913827,0,0,0.000000,946.760000,0.796448,2.668341,276.387289,128.066199,12.478061,124.474553,11.368351
5,0,0,42,166740,0,0,0.000000,960.680000,0.796470,5.439934,290.692062,142.482521,12.400100,124.398772,11.410576
8,0,0,42,844,0,0,0.000000,970.156863,0.795837,3.476636,298.318195,141.517760,20.959600,124.434232,11.406582
14,0,0,42,619,0,0,0.000000,978.640000,0.795631,4.680231,306.967091,145.526279,25.579216,124.445254,11.416109
13,0,0,42,773,0,0,0.000000,980.340000,0.795928,3.200958,308.393153,144.962543,27.546937,124.482363,11.401279
3,0,0,42,21499,0,0,0.000000,937.040816,0.796477,2.120779,267.763778,119.432685,12.499390,124.434038,11.397663
9,0,0,42,21482,0,0,0.000000,936.979592,0.796450,2.113907,267.674113,119.418724,12.483101,124.371139,11.401096
11,0,0,42,4791,0,0,0.000000,931.693878,0.796489,0.064474,263.746747,115.520464,12.487737,124.330587,11.408003
6,0,0,42,33744372,0,0,0.000000,1002.469388,0.794956,3.987341,326.797390,165.628546,25.337874,124.478698,11.352251
4,0,0,56,618961229,0,0,0.000000,952.560000,0.796041,2.671175,283.253241,134.912205,12.504727,124.490362,11.345880
5,0,0,56,164277,0,0,0.000000,971.820000,0.796016,5.444254,298.700665,150.395270,12.479299,124.492395,11.333652
8,0,0,56,830,0,0,0.000000,983.860000,0.795418,3.476228,311.069929,150.378997,24.865116,124.468029,11.357952
14,0,0,56,609,0,0,0.000000,995.700000,0.795327,4.683748,319.719513,154.791190,29.061018,124.491240,11.376048
13,0,0,56,762,0,0,0.000000,997.200000,0.795669,3.202154,323.178225,154.426853,32.818187,124.533023,11.400130
3,0,0,56,21165,0,0,0.000000,939.734694,0.796062,2.120756,271.557490,123.240035,12.511360,124.380701,11.425494
9,0,0,56,21163,0,0,0.000000,939.340000,0.796068,2.114197,271.394436,123.160160,12.480645,124.348800,11.404842
11,0,0,56,4720,0,0,0.000000,932.300000,0.796088,0.064474,263.661952,115.437245,12.503650,124.291983,11.428937
6,0,0,56,33015163,0,0,0.000000,1026.857143,0.794797,3.986145,348.190744,184.546957,27.767968,124.521692,11.353696
4,0,1,14,1614193517,0,0,0.000000,1102.469388,1.994946,2.681173,415.814793,194.976167,12.808778,196.430340,11.599540
5,0,1,14,436549,0,0,0.000000,1206.220000,1.995872,5.441289,498.101572,240.314645,12.843656,233.375457,11.567751
8,0,1,14,2139,0,0,0.000000,1219.764706,1.994386,3.340472,508.961820,248.893519,17.158269,231.349330,11.560748
14,0,1,14,1462,0,0,0.000000,1226.260000,1.992553,4.210631,514.875738,249.367161,21.288731,232.640994,11.578971
13,0,1,14,1606,0,0,0.000000,1217.060000,1.992488,2.563839,507.663926,241.754022,22.422303,231.926129,11.561646
3,0,1,14,56350,0,0,0.000000,1174.632653,1.995865,2.121297,471.961847,216.295156,12.836053,231.264737,11.565884
9,0,1,14,56254,0,0,0.000000,1179.060000,1.995804,2.113388,474.803102,217.096189,12.787169,233.331878,11.587787
11,0,1,14,12544,0,0,0.000000,1173.160000,1.995800,0.064479,470.794936,213.075580,12.807236,233.312195,11.599954
6,0,1,14,83736648,0,0,0.000000,1256.240000,1.989473,3.742456,540.822647,274.963263,20.927345,233.356928,11.574911
4,0,1,28,1637795183,0,0,0.000000,1206.620000,1.996436,2.678041,497.802100,239.993853,12.831850,233.424181,11.552258
5,0,1,28,435206,0,0,0.000000,1239.300000,1.996394,5.446999,526.898714,269.104183,12.792725,233.422830,11.579099
8,0,1,28,2126,0,0,0.000000,1262.960784,1.995077,3.347604,547.703124,277.151403,25.555687,233.452903,11.543057
14,0,1,28,1450,0,0,0.000000,1270.760000,1.993214,4.212382,553.533138,280.741088,29.652087,231.600311,11.539591
13,0,1,28,1596,0,0,0.000000,1253.900000,1.993312,2.573824,540.153149,266.131731,31.500366,230.968149,11.553043
3,0,1,28,56108,0,0,0.000000,1185.775510,1.996431,2.121455,482.130033,224.337055,12.772038,233.451009,11.569763
9,0,1,28,56012,0,0,0.000000,1185.180000,1.996444,2.113552,480.656841,222.925333,12.792205,233.395875,11.543480
11,0,1,28,12495,0,0,0.000000,1170.960000,1.996435,0.064480,469.399714,212.377566,12.806202,232.643438,11.572431
6,0,1,28,82526605,0,0,0.000000,1331.960000,1.990974,3.730756,603.549796,330.031037,28.540798,233.416776,11.560973
4,0,1,42,1629299125,0,0,0.000000,1229.420000,1.996465,2.669178,517.328112,259.540613,12.783162,233.450795,11.553508
5,0,1,42,431638,0,0,0.000000,1272.940000,1.996531,5.446910,553.534593,296.411732,12.742347,232.814377,11.566100
