experiment,frequency,shell,threads,utility,op1,op2,sysfs-powercap-rapl,perf-ipc,perf-freq,ipc-estimate,metricq
2,0,0,224,1,0,0,271.323713,-nan,0.000001,0.000000,959.787234
4,0,0,8,486582238,0,0,277.240573,2.120943,0.788375,0.000000,962.000000
5,0,0,8,118830,0,0,277.327719,3.846415,0.788601,0.000000,963.920000
8,0,0,8,713,0,0,281.567911,2.943184,0.786306,0.000000,966.920000
14,0,0,8,487,0,0,282.541014,3.695946,0.786680,0.000000,968.020000
13,0,0,8,759,0,0,283.098248,3.149438,0.786562,0.000000,969.660000
3,0,0,8,21531,0,0,273.870807,2.105988,0.788650,0.000000,960.560000
9,0,0,8,20198,0,0,273.931371,2.042528,0.788788,0.000000,960.560000
11,0,0,8,4738,0,0,273.722709,0.064320,0.788721,0.000000,959.780000
6,0,0,8,78823871,0,0,287.152365,3.684522,0.786035,0.000000,973.660000
4,0,0,16,492358001,0,0,278.286531,2.120019,0.790169,0.000000,964.240000
5,0,0,16,117784,0,0,282.444418,3.846991,0.790310,0.000000,968.100000
8,0,0,16,707,0,0,288.073508,2.943667,0.789108,0.000000,974.100000
14,0,0,16,481,0,0,290.491209,3.697025,0.789475,0.000000,976.500000
13,0,0,16,750,0,0,293.928400,3.145033,0.789166,0.000000,979.400000
3,0,0,16,21327,0,0,276.419175,2.105914,0.790256,0.000000,961.160000
9,0,0,16,20795,0,0,277.252334,2.051952,0.790388,0.000000,961.520000
11,0,0,16,4785,0,0,274.251795,0.064461,0.790352,0.000000,959.340000
6,0,0,16,77921330,0,0,299.623614,3.679880,0.788665,0.000000,986.040000
4,0,0,24,487711544,0,0,282.518099,2.119732,0.790504,0.000000,965.980000
5,0,0,24,116695,0,0,286.803035,3.844646,0.790814,0.000000,972.160000
8,0,0,24,700,0,0,293.039862,2.943520,0.789897,0.000000,980.400000
14,0,0,24,476,0,0,298.748015,3.692172,0.790270,0.000000,984.120000
13,0,0,24,741,0,0,304.452948,3.138197,0.789990,0.000000,988.600000
3,0,0,24,21126,0,0,279.067007,2.106059,0.790717,0.000000,962.520000
9,0,0,24,20594,0,0,279.017658,2.051957,0.790643,0.000000,962.980000
11,0,0,24,4741,0,0,275.170265,0.064459,0.790782,0.000000,959.820000
6,0,0,24,77072848,0,0,311.522072,3.676806,0.789501,0.000000,999.920000
4,0,0,32,483071127,0,0,283.309975,2.119196,0.790819,0.000000,969.540000
5,0,0,32,115603,0,0,290.956835,3.844260,0.790989,0.000000,977.380000
8,0,0,32,693,0,0,299.741451,2.943372,0.790463,0.000000,987.920000
14,0,0,32,471,0,0,306.724845,3.690805,0.790827,0.000000,992.700000
13,0,0,32,732,0,0,312.362884,3.133670,0.790381,0.000000,998.140000
3,0,0,32,20927,0,0,279.378806,2.106088,0.790944,0.000000,964.380000
9,0,0,32,20407,0,0,279.499584,2.052039,0.790967,0.000000,964.940000
11,0,0,32,4696,0,0,275.728162,0.064458,0.790988,0.000000,960.400000
6,0,0,32,76159212,0,0,323.749500,3.674288,0.789810,0.000000,1012.440000
4,0,0,40,478396497,0,0,287.833555,2.118681,0.790898,0.000000,971.600000
5,0,0,40,114502,0,0,295.592524,3.845348,0.791059,0.000000,981.640000
8,0,0,40,685,0,0,306.913797,2.943290,0.790644,0.000000,994.560000
14,0,0,40,466,0,0,314.309816,3.689584,0.791074,0.000000,1000.300000
13,0,0,40,723,0,0,319.545710,3.129814,0.790808,0.000000,1006.520000
3,0,0,40,20734,0,0,280.051996,2.106047,0.791045,0.000000,965.360000
9,0,0,40,20206,0,0,279.917019,2.052106,0.791085,0.000000,966.000000
11,0,0,40,4653,0,0,276.007291,0.064457,0.791115,0.000000,960.720000
6,0,0,40,75264278,0,0,336.487681,3.671462,0.790022,0.000000,1024.980000
4,0,0,48,473985546,0,0,288.270479,2.117747,0.790940,0.000000,974.160000
5,0,0,48,113452,0,0,299.937624,3.845721,0.791266,0.000000,985.960000
8,0,0,48,678,0,0,315.927896,2.943163,0.790913,0.000000,1000.720000
14,0,0,48,462,0,0,321.953863,3.689161,0.791120,0.000000,1007.860000
13,0,0,48,724,0,0,330.759984,3.140028,0.791186,0.000000,1018.300000
3,0,0,48,20546,0,0,280.783540,2.106014,0.791172,0.000000,966.360000
9,0,0,48,20045,0,0,282.573191,2.052188,0.791208,0.000000,966.820000
11,0,0,48,4612,0,0,276.517383,0.064457,0.791152,0.000000,960.420000
6,0,0,48,74396719,0,0,348.836455,3.667386,0.790114,0.000000,1036.940000
4,0,0,56,469588891,0,0,292.576167,2.117189,0.790930,0.000000,976.440000
5,0,0,56,112540,0,0,304.457771,3.844719,0.791400,0.000000,991.000000
8,0,0,56,673,0,0,323.328204,2.942953,0.791144,0.000000,1009.020000
14,0,0,56,456,0,0,330.310975,3.689279,0.791440,0.000000,1016.100000
13,0,0,56,722,0,0,342.985403,3.144863,0.791690,0.000000,1030.200000
3,0,0,56,20368,0,0,284.808687,2.106112,0.791285,0.000000,967.620000
9,0,0,56,19863,0,0,285.323701,2.052199,0.791201,0.000000,968.340000
11,0,0,56,4572,0,0,277.254918,0.064456,0.791390,0.000000,960.580000
6,0,0,56,73323830,0,0,361.846105,3.658106,0.790033,0.000000,1049.800000
4,0,0,64,460165184,0,0,294.448355,2.112031,0.790394,0.000000,978.720000
5,0,0,64,110600,0,0,309.780531,3.845328,0.791443,0.000000,995.140000
8,0,0,64,659,0,0,331.728984,2.943017,0.791469,0.000000,1016.380000
14,0,0,64,447,0,0,338.264003,3.688641,0.791792,0.000000,1024.240000
13,0,0,64,707,0,0,352.780488,3.145034,0.791899,0.000000,1039.960000
3,0,0,64,20017,0,0,286.133914,2.105922,0.791369,0.000000,968.200000
9,0,0,64,19526,0,0,286.389125,2.052077,0.791394,0.000000,969.200000
11,0,0,64,4493,0,0,278.540942,0.064456,0.791293,0.000000,960.460000
6,0,0,64,71711517,0,0,373.674359,3.661184,0.790573,0.000000,1063.540000
4,0,0,72,452378174,0,0,300.302244,2.111419,0.790586,0.000000,980.880000
5,0,0,72,108808,0,0,315.493129,3.845304,0.791363,0.000000,999.460000
8,0,0,72,647,0,0,338.690422,2.943024,0.791611,0.000000,1023.180000
14,0,0,72,439,0,0,347.368551,3.689109,0.791808,0.000000,1032.260000
13,0,0,72,695,0,0,361.856877,3.143924,0.791786,0.000000,1049.400000
3,0,0,72,19689,0,0,288.056175,2.105935,0.791182,0.000000,968.860000
9,0,0,72,19200,0,0,288.162216,2.052118,0.791222,0.000000,969.820000
11,0,0,72,4418,0,0,280.300967,0.064456,0.791174,0.000000,960.120000
6,0,0,72,70333476,0,0,387.022144,3.662727,0.790918,0.000000,1076.300000
4,0,0,80,445136124,0,0,301.394481,2.111548,0.790468,0.000000,982.580000
5,0,0,80,106970,0,0,320.386033,3.845325,0.791257,0.000000,1003.000000
8,0,0,80,636,0,0,346.350453,2.942979,0.791623,0.000000,1029.800000
14,0,0,80,431,0,0,354.878826,3.688608,0.792011,0.000000,1040.320000
13,0,0,80,683,0,0,370.001149,3.141650,0.791900,0.000000,1058.860000
3,0,0,80,19355,0,0,289.397061,2.105995,0.791111,0.000000,970.260000
9,0,0,80,18889,0,0,290.312288,2.052096,0.791057,0.000000,971.360000
11,0,0,80,4346,0,0,281.277276,0.064456,0.791148,0.000000,960.320000
6,0,0,80,69036847,0,0,402.445372,3.663416,0.790908,0.000000,1089.480000
4,0,0,88,437203638,0,0,306.090201,2.111662,0.790206,0.000000,985.060000
5,0,0,88,105087,0,0,324.654449,3.844705,0.791316,0.000000,1007.520000
8,0,0,88,624,0,0,353.954107,2.943005,0.791884,0.000000,1035.780000
14,0,0,88,423,0,0,362.832588,3.688333,0.792263,0.000000,1047.700000
13,0,0,88,670,0,0,381.061666,3.139890,0.791915,0.000000,1067.200000
3,0,0,88,19037,0,0,293.370308,2.106086,0.791025,0.000000,970.920000
9,0,0,88,18556,0,0,294.525357,2.052159,0.791221,0.000000,972.180000
11,0,0,88,4271,0,0,282.985286,0.064456,0.791124,0.000000,960.320000
6,0,0,88,67629558,0,0,415.751046,3.663893,0.791308,0.000000,1101.720000
4,0,0,96,429649506,0,0,307.608771,2.111418,0.790207,0.000000,987.100000
5,0,0,96,103262,0,0,328.046803,3.844752,0.791224,0.000000,1011.720000
8,0,0,96,614,0,0,360.304191,2.942901,0.791927,0.000000,1042.480000
14,0,0,96,415,0,0,370.354562,3.688286,0.792455,0.000000,1055.040000
13,0,0,96,658,0,0,391.542969,3.137395,0.792118,0.000000,1075.500000
3,0,0,96,18697,0,0,295.750500,2.105974,0.790985,0.000000,971.420000
9,0,0,96,18237,0,0,295.667695,2.052178,0.790994,0.000000,972.900000
